,date,price,delta,volume
0,2021.02.04,964.58,-6.11,"2,131,838"
1,2021.02.03,970.69,6.88,"1,912,432"
2,2021.02.02,963.81,6.89,"1,957,391"
3,2021.02.01,956.92,28.19,"1,546,510"
4,2021.01.29,928.73,-32.50,"2,190,876"
5,2021.01.28,961.23,-24.69,"1,951,603"
6,2021.01.27,985.92,-8.08,"2,857,961"
7,2021.01.26,994.00,-5.30,"2,651,486"
8,2021.01.25,999.30,19.32,"1,850,119"
9,2021.01.22,979.98,-1.42,"2,288,183"
10,2021.01.21,981.40,3.74,"1,995,071"
11,2021.01.20,977.66,19.91,"2,441,708"
12,2021.01.19,957.75,13.08,"2,107,756"
13,2021.01.18,944.67,-19.77,"2,040,501"
14,2021.01.15,964.44,-15.85,"1,844,766"
15,2021.01.14,980.29,1.16,"1,736,166"
16,2021.01.13,979.13,5.41,"1,635,160"
17,2021.01.12,973.72,-2.91,"1,741,983"
18,2021.01.11,976.63,-11.16,"2,201,087"
19,2021.01.08,987.79,-1.07,"2,557,365"
20,2021.01.07,988.86,7.47,"2,256,784"
21,2021.01.06,981.39,-4.37,"1,980,415"
22,2021.01.05,985.76,8.14,"1,808,188"
23,2021.01.04,977.62,9.20,"1,697,123"
24,2020.12.30,968.42,11.01,"1,638,729"
25,2020.12.29,957.41,30.41,"1,510,814"
26,2020.12.28,927.00,-1.68,"1,642,275"
27,2020.12.24,928.68,5.51,"1,724,765"
28,2020.12.23,923.17,-5.56,"1,924,137"
29,2020.12.22,928.73,-24.85,"1,856,455"
30,2020.12.21,953.58,6.34,"1,926,451"
31,2020.12.18,947.24,3.20,"2,114,839"
32,2020.12.17,944.04,4.39,"2,650,705"
33,2020.12.16,939.65,8.38,"1,998,312"
34,2020.12.15,931.27,1.73,"2,100,826"
35,2020.12.14,929.54,1.10,"1,610,591"
36,2020.12.11,928.44,6.74,"1,913,758"
37,2020.12.10,921.70,7.89,"2,666,888"
38,2020.12.09,913.81,6.97,"2,695,657"
39,2020.12.08,906.84,-20.04,"2,601,247"
40,2020.12.07,926.88,13.12,"2,240,526"
41,2020.12.04,913.76,6.15,"2,167,590"
42,2020.12.03,907.61,8.27,"2,361,180"
43,2020.12.02,899.34,8.05,"1,890,607"
44,2020.12.01,891.29,5.18,"2,133,268"
45,2020.11.30,886.11,0.55,"1,738,037"
46,2020.11.27,885.56,11.03,"1,829,517"
47,2020.11.26,874.53,9.41,"1,917,340"
48,2020.11.25,865.12,-6.98,"2,494,367"
