,date,price,delta,volume
0,2021.02.04,3087.55,-42.13,1460945
1,2021.02.03,3129.68,32.87,901788
2,2021.02.02,3096.81,40.28,887313
3,2021.02.01,3056.53,80.32,969262
4,2021.01.29,2976.21,-92.84,995071
5,2021.01.28,3069.05,-53.51,1310454
6,2021.01.27,3122.56,-17.75,924582
7,2021.01.26,3140.31,-68.68,873023
8,2021.01.25,3208.99,68.36,1093652
9,2021.01.22,3140.63,-20.21,1111222
10,2021.01.21,3160.84,46.29,1360065
11,2021.01.20,3114.55,21.89,1192695
12,2021.01.19,3092.66,78.73,1353312
13,2021.01.18,3013.93,-71.97,1472048
14,2021.01.15,3085.9,-64.03,1331079
15,2021.01.14,3149.93,1.64,1233182
16,2021.01.13,3148.29,22.34,1578042
17,2021.01.12,3125.95,-22.5,1390617
18,2021.01.11,3148.45,-3.73,1712525
19,2021.01.08,3152.18,120.5,1297903
20,2021.01.07,3031.68,63.47,1524654
21,2021.01.06,2968.21,-22.36,1793418
22,2021.01.05,2990.57,46.12,1519911
23,2021.01.04,2944.45,70.98,1026510
24,2020.12.30,2873.47,52.96,1074033
25,2020.12.29,2820.51,11.91,1046839
26,2020.12.28,2808.6,1.74,1006249
27,2020.12.24,2806.86,47.04,1030890
28,2020.12.23,2759.82,26.14,1121346
29,2020.12.22,2733.68,-44.97,1260761
30,2020.12.21,2778.65,6.47,1139513
31,2020.12.18,2772.18,1.75,1059143
32,2020.12.17,2770.43,-1.36,1015484
33,2020.12.16,2771.79,14.97,1166637
34,2020.12.15,2756.82,-5.38,1093522
35,2020.12.14,2762.2,-7.86,1113630
36,2020.12.11,2770.06,23.6,1215239
37,2020.12.10,2746.46,-9.01,1227651
38,2020.12.09,2755.47,54.54,1252304
39,2020.12.08,2700.93,-44.51,1415239
40,2020.12.07,2745.44,13.99,1499265
41,2020.12.04,2731.45,35.23,1778896
42,2020.12.03,2696.22,20.32,817065
43,2020.12.02,2675.9,41.65,1076203
44,2020.12.01,2634.25,42.91,1151129
45,2020.11.30,2591.34,-42.11,1311831
46,2020.11.27,2633.45,7.54,1196041
47,2020.11.26,2625.91,24.37,1387435
48,2020.11.25,2601.54,-16.22,1410104
49,2020.11.24,2617.76,15.17,1364506
50,2020.11.23,2602.59,49.09,1649443
51,2020.11.20,2553.5,6.08,1129500
52,2020.11.19,2547.42,1.78,976483
53,2020.11.18,2545.64,6.49,923504
54,2020.11.17,2539.15,-3.88,1267494
55,2020.11.16,2543.03,49.16,1239135
56,2020.11.13,2493.87,18.25,1072383
57,2020.11.12,2475.62,-10.25,1278691
58,2020.11.11,2485.87,33.04,1272038
59,2020.11.10,2452.83,5.63,1464168
60,2020.11.09,2447.2,30.7,1354862
61,2020.11.06,2416.5,2.71,825568
62,2020.11.05,2413.79,56.47,702037
63,2020.11.04,2357.32,14.01,986786
64,2020.11.03,2343.31,43.15,887445
65,2020.11.02,2300.16,33.01,678501
66,2020.10.30,2267.15,-59.52,795585
67,2020.10.29,2326.67,-18.59,509768
68,2020.10.28,2345.26,14.42,705770
69,2020.10.27,2330.84,-13.07,666941
70,2020.10.26,2343.91,-16.9,822267
71,2020.10.23,2360.81,5.76,890384
72,2020.10.22,2355.05,-15.81,815612
73,2020.10.21,2370.86,12.45,812837
74,2020.10.20,2358.41,11.67,874293
75,2020.10.19,2346.74,5.21,931645
76,2020.10.16,2341.53,-19.68,920205
