,date,price,delta,volume
0,2021-02-03 16:05:01,3830.17,3.86,2220313002
1,2021-02-02 16:05:45,3826.31,52.45,2361255041
2,2021-02-01 16:04:59,3773.86,59.62,2414205986
3,2021-01-29 16:05:49,3714.24,-73.14,3274650419
4,2021-01-28 16:05:09,3787.38,36.61,3194086969
5,2021-01-27 16:06:21,3750.77,-98.85,3742007441
6,2021-01-26 16:04:58,3849.62,-5.74,2469456864
7,2021-01-25 16:03:52,3855.36,13.89,2725455027
8,2021-01-22 16:00:05,3841.47,-11.6,2202605456
9,2021-01-21 16:00:05,3853.07,1.22,2448772938
10,2021-01-20 16:00:03,3851.85,52.94,2255231592
11,2021-01-19 16:00:05,3798.91,30.66,2338753241
12,2021-01-15 16:00:03,3768.25,-27.29,2629980256
13,2021-01-14 16:00:03,3795.54,-14.3,2580805745
14,2021-01-13 16:00:05,3809.84,8.65,2241026351
15,2021-01-12 16:00:03,3801.19,1.58,2540588012
16,2021-01-11 16:00:06,3799.61,-25.07,2189868102
17,2021-01-08 16:00:03,3824.68,20.89,2283361233
18,2021-01-07 16:00:05,3803.79,55.65,2470920246
19,2021-01-06 16:00:05,3748.14,21.28,3040784595
20,2021-01-05 16:00:03,3726.86,26.21,2241673874
21,2021-01-04 16:00:03,3700.65,-55.42,2559045569
22,2020-12-31 16:00:05,3756.07,24.03,1606667165
23,2020-12-30 16:00:03,3732.04,5.0,1491119841
24,2020-12-29 16:00:03,3727.04,-8.32,1593402848
25,2020-12-28 16:00:05,3735.36,32.3,1596444585
26,2020-12-24 13:04:08,3703.06,13.05,803907177
27,2020-12-23 16:04:32,3690.01,2.75,1794525837
28,2020-12-22 16:04:19,3687.26,-7.66,2122296807
29,2020-12-21 16:03:53,3694.92,-14.49,2509431930
30,2020-12-18 16:05:23,3709.41,-13.07,3993051629
31,2020-12-17 16:05:31,3722.48,21.31,2123840270
32,2020-12-16 16:04:33,3701.17,6.55,2180421004
33,2020-12-15 16:05:45,3694.62,47.13,2481110237
34,2020-12-14 16:04:48,3647.49,-15.97,2466988402
35,2020-12-11 16:04:31,3663.46,-4.64,2235277541
36,2020-12-10 16:04:24,3668.1,-4.72,2334632267
37,2020-12-09 16:05:12,3672.82,-29.43,2705521435
38,2020-12-08 16:04:09,3702.25,10.29,2191598722
39,2020-12-07 16:03:58,3691.96,-7.16,2267153990
40,2020-12-04 16:04:01,3699.12,32.4,2508929604
